MYlive，CVS格式化源

香港HK,#genre#
河北卫视,http://url.cdnhs.store:48559/hstw.php?id=hebwshd
河北卫视,http://url.cdnhs.store:48559/hstw.php?id=HEBWSHD4M
河南卫视,http://url.cdnhs.store:48559/hstw.php?id=hnwshd
河南卫视,http://url.cdnhs.store:48559/hstw.php?id=HENWSHD4M
内蒙古卫视,http://url.cdnhs.store:48559/hstw.php?id=nmgwshd
内蒙古卫视,http://url.cdnhs.store:48559/hstw.php?id=NMGWSHD4M
宁夏卫视,http://url.cdnhs.store:48559/hstw.php?id=nxwshd
甘肃卫视,http://url.cdnhs.store:48559/hstw.php?id=gswshd
海南卫视,http://url.cdnhs.store:48559/hstw.php?id=hinwshd
新疆卫视,http://url.cdnhs.store:48559/hstw.php?id=xjwshd
西藏卫视,http://url.cdnhs.store:48559/hstw.php?id=xzwshd
陕西卫视,http://url.cdnhs.store:48559/hstw.php?id=sxwshd
山西卫视,http://url.cdnhs.store:48559/hstw.php?id=shxwshd
青海卫视,http://url.cdnhs.store:48559/hstw.php?id=qhwshd
三沙卫视,http://url.cdnhs.store:48559/hstw.php?id=sswshd
农林卫视,http://url.cdnhs.store:48559/hstw.php?id=nlwshd
兵团卫视,http://url.cdnhs.store:48559/hstw.php?id=btwshd
广东卫视,http://url.cdnhs.store:48559/hstw.php?id=GDWSHD4M
广东珠江,http://url.cdnhs.store:48559/hstw.php?id=GDZhujiang
大湾区卫视,http://url.cdnhs.store:48559/hstw.php?id=dwqwshk
大湾区卫视,http://url.cdnhs.store:48559/hstw.php?id=dwqwshd
国内高清,#genre#
CCTV1,http://url.cdnhs.store:48559/xjcn.php?id=cctv1
CCTV2,http://url.cdnhs.store:48559/xjcn.php?id=cctv2
CCTV3,http://url.cdnhs.store:48559/xjcn.php?id=cctv3
CCTV4,http://url.cdnhs.store:48559/xjcn.php?id=cctv4
CCTV5,http://url.cdnhs.store:48559/xjcn.php?id=cctv5
CCTV5P,http://url.cdnhs.store:48559/xjcn.php?id=cctv5j
CCTV6,http://url.cdnhs.store:48559/xjcn.php?id=cctv6
CCTV7,http://url.cdnhs.store:48559/xjcn.php?id=cctv7
CCTV8,http://url.cdnhs.store:48559/xjcn.php?id=cctv8
CCTV9,http://url.cdnhs.store:48559/xjcn.php?id=cctv9
CCTV10,http://url.cdnhs.store:48559/xjcn.php?id=cctv10
CCTV11,http://url.cdnhs.store:48559/xjcn.php?id=cctv11
CCTV12,http://url.cdnhs.store:48559/xjcn.php?id=cctv12
CCTV13,http://url.cdnhs.store:48559/xjcn.php?id=cctv13
CCTV14,http://url.cdnhs.store:48559/xjcn.php?id=cctv14
CCTV15,http://url.cdnhs.store:48559/xjcn.php?id=cctv15
CCTV16,http://url.cdnhs.store:48559/xjcn.php?id=cctv16
CCTV17,http://url.cdnhs.store:48559/xjcn.php?id=cctv17
重温经典,http://url.cdnhs.store:48559/xjcn.php?id=cwjd
北京卫视,http://url.cdnhs.store:48559/xjcn.php?id=bjws
深圳卫视,http://url.cdnhs.store:48559/xjcn.php?id=szws
广东卫视,http://url.cdnhs.store:48559/xjcn.php?id=广东卫视台
江苏卫视,http://url.cdnhs.store:48559/xjcn.php?id=jsws
湖南卫视,http://url.cdnhs.store:48559/xjcn.php?id=hnws
东方卫视,http://url.cdnhs.store:48559/xjcn.php?id=shws
山东卫视,http://url.cdnhs.store:48559/xjcn.php?id=sdws
浙江卫视,http://url.cdnhs.store:48559/xjcn.php?id=zjws
四川卫视,http://url.cdnhs.store:48559/xjcn.php?id=scws
重庆卫视,http://url.cdnhs.store:48559/xjcn.php?id=cqws
湖北卫视,http://url.cdnhs.store:48559/xjcn.php?id=hbws
福建卫视,http://url.cdnhs.store:48559/xjcn.php?id=fjws
西藏卫视,http://url.cdnhs.store:48559/xjcn.php?id=xzws
海南卫视,http://url.cdnhs.store:48559/xjcn.php?id=hnws1
黑龙江卫视,http://url.cdnhs.store:48559/xjcn.php?id=hljws
深圳卫视HD,http://url.cdnhs.store:48559/xjcn.php?id=szws
深圳都市HD,http://url.cdnhs.store:48559/xjcn.php?id=深圳都市
深圳电视剧HD,http://url.cdnhs.store:48559/xjcn.php?id=深圳电视剧
魅力足球HD,http://url.cdnhs.store:48559/xjcn.php?id=魅力足球
劲爆体育HD,http://url.cdnhs.store:48559/xjcn.php?id=劲爆体育
新视觉高清,http://url.cdnhs.store:48559/xjcn.php?id=新视觉高清
CCTV央视台球,http://url.cdnhs.store:48559/xjcn.php?id=汕头文旅
广东体育HD,http://url.cdnhs.store:48559/xjcn.php?id=广东体育
广东新闻HD,http://url.cdnhs.store:48559/xjcn.php?id=广东新闻
广东珠江HD,http://url.cdnhs.store:48559/xjcn.php?id=广东珠江
广东影视HD,http://url.cdnhs.store:48559/xjcn.php?id=广东影视台
广东经济科教,http://url.cdnhs.store:48559/xjcn.php?id=gdcj
广东卫视HD,http://url.cdnhs.store:48559/xjcn.php?id=广东卫视台
大湾区卫视HD,http://url.cdnhs.store:48559/xjcn.php?id=大湾区
岭南戏曲HD,http://url.cdnhs.store:48559/xjcn.php?id=岭南戏曲
汕头综合HD,http://url.cdnhs.store:48559/xjcn.php?id=汕头综合
汕头经济HD,http://url.cdnhs.store:48559/xjcn.php?id=汕头经济
广东民生(公共),http://url.cdnhs.store:48559/xjcn.php?id=广东民生台
广东4k超高清,http://url.cdnhs.store:48559/xjcn.php?id=广东4k台
中国台湾,#genre#
